,CustomerID,Invoices,DistinctProducts,Sales,OverallQuantity,SalesPerInvoice,ItemsPerInvoice,DistinctMonths,LastBuyMonths,SalesPerMonth,uniqueWeekdayInovices,uniqueWeekendInovices,WeekendPct
1898,17453,2,18,473.96999999999997,218,236.98,109.0,2,2,237.0,2,0,0.0
3491,16987,6,71,1500.55,394,250.09,65.67,8,1,188.0,5,1,0.16666666666666666
1594,16121,2,170,841.91,575,420.96,287.5,6,3,140.0,1,1,0.5
634,16582,1,6,313.62,164,313.62,164.0,1,5,314.0,1,0,0.0
4008,16191,12,62,3835.56,2199,319.63,183.25,13,1,295.0,12,0,0.0
2489,13637,3,79,778.8,403,259.6,134.33,7,3,111.0,2,1,0.3333333333333333
3133,14662,4,143,741.37,578,185.34,144.5,11,2,67.0,4,0,0.0
3403,13956,5,120,951.07,482,190.21,96.4,10,1,95.0,0,5,1.0
331,15843,1,5,80.70000000000002,24,80.7,24.0,1,11,81.0,1,0,0.0
3963,15301,11,163,4299.95,2591,390.9,235.55,11,3,391.0,9,2,0.18181818181818182
2245,13261,2,8,944.1,210,472.05,105.0,2,10,472.0,1,1,0.5
962,15099,1,22,330.8,247,330.8,247.0,1,4,331.0,1,0,0.0
4208,13534,25,122,5870.08,2961,234.8,118.44,13,1,452.0,25,0,0.0
2854,12830,4,3,1509.1200000000001,576,377.28,144.0,4,4,377.0,4,0,0.0
3279,15511,5,115,785.78,260,157.16,52.0,3,2,262.0,5,0,0.0
3757,15845,8,98,3711.77,1926,463.97,240.75,11,2,337.0,8,0,0.0
1321,17274,1,24,107.82,77,107.82,77.0,1,2,108.0,1,0,0.0
1170,16903,1,50,363.2,247,363.2,247.0,1,2,363.0,1,0,0.0
749,15395,1,7,107.45,17,107.45,17.0,1,12,107.0,1,0,0.0
864,15216,1,2,96.6,28,96.6,28.0,1,4,97.0,1,0,0.0
1004,15087,1,14,246.46,182,246.46,182.0,1,10,246.0,1,0,0.0
1202,16917,1,8,340.52,228,340.52,228.0,1,10,341.0,1,0,0.0
955,17535,1,13,164.4,136,164.4,136.0,1,10,164.0,1,0,0.0
4121,14367,16,272,9048.82,4326,565.55,270.38,10,1,905.0,15,1,0.0625
3316,12444,5,125,3243.11,1077,648.62,215.4,6,2,541.0,5,0,0.0
998,17517,1,10,128.44,100,128.44,100.0,1,11,128.0,1,0,0.0
178,12622,1,8,123.85,65,123.85,65.0,1,9,124.0,1,0,0.0
3906,15114,10,136,2760.56,3096,276.06,309.6,10,2,276.0,10,0,0.0
97,16101,1,76,1290.7,757,1290.7,757.0,1,4,1291.0,1,0,0.0
257,16345,1,34,465.46000000000004,286,465.46,286.0,1,3,465.0,1,0,0.0
2602,16356,3,20,211.77,93,70.59,31.0,3,8,71.0,3,0,0.0
725,13395,1,19,267.18,226,267.18,226.0,1,7,267.0,1,0,0.0
1441,14386,1,7,142.4,54,142.4,54.0,1,11,142.0,1,0,0.0
2331,13171,3,35,320.26,222,106.75,74.0,10,2,32.0,2,1,0.3333333333333333
407,12920,1,25,128.88,126,128.88,126.0,1,2,129.0,1,0,0.0
953,17542,1,24,170.75,134,170.75,134.0,1,10,171.0,1,0,0.0
2908,17849,4,13,262.4,102,65.6,25.5,5,8,52.0,4,0,0.0
780,15345,1,15,262.79,72,262.79,72.0,1,3,263.0,1,0,0.0
3165,16728,4,218,1035.53,670,258.88,167.5,8,3,129.0,1,3,0.75
2165,13430,2,47,628.45,747,314.23,373.5,3,2,209.0,2,0,0.0
2646,15980,3,37,2026.38,984,675.46,328.0,7,4,289.0,3,0,0.0
1972,13736,2,162,634.3,490,317.15,245.0,10,1,63.0,1,1,0.5
4110,15640,15,233,11533.75,5848,768.92,389.87,13,1,887.0,12,3,0.2
1007,15075,1,25,707.68,326,707.68,326.0,1,4,708.0,1,0,0.0
63,18192,1,44,919.72,336,919.72,336.0,1,4,920.0,1,0,0.0
3531,16360,6,362,3348.71,2104,558.12,350.67,4,1,837.0,5,1,0.16666666666666666
4171,17377,20,191,4058.32,2038,202.92,101.9,12,2,338.0,17,3,0.15
3406,12670,5,57,2744.05,1383,548.81,276.6,8,2,343.0,5,0,0.0
2819,15031,4,72,527.99,296,132.0,74.0,10,1,53.0,3,1,0.25
539,13095,1,6,74.39999999999999,144,74.4,144.0,1,4,74.0,1,0,0.0
2873,12997,4,45,1143.69,660,285.92,165.0,11,2,104.0,3,1,0.25
2858,12783,4,73,1280.92,610,320.23,152.5,4,1,320.0,3,1,0.25
2779,16233,3,21,476.88,170,158.96,56.67,10,4,48.0,3,0,0.0
651,15475,1,29,454.10999999999996,319,454.11,319.0,1,4,454.0,1,0,0.0
2247,13276,2,29,578.1800000000001,160,289.09,80.0,2,3,289.0,2,0,0.0
3750,17338,8,386,6389.34,3051,798.67,381.38,12,2,532.0,8,0,0.0
1537,14513,2,10,317.35,169,158.68,84.5,4,8,79.0,2,0,0.0
2865,16043,4,27,689.24,498,172.31,124.5,11,2,63.0,4,0,0.0
3288,14235,5,65,2720.62,1663,544.12,332.6,7,4,389.0,4,1,0.2
2185,13402,2,32,621.23,479,310.62,239.5,9,5,69.0,2,0,0.0
1075,13893,1,20,795.6,188,795.6,188.0,1,11,796.0,1,0,0.0
2590,14930,3,110,2139.91,1145,713.3,381.67,6,5,357.0,3,0,0.0
4170,17865,20,191,9901.87,5362,495.09,268.1,12,2,825.0,20,0,0.0
565,13166,1,39,417.2,216,417.2,216.0,1,10,417.0,1,0,0.0
2583,14937,3,33,1621.88,484,540.63,161.33,3,3,541.0,3,0,0.0
1650,17259,2,104,581.23,388,290.62,194.0,8,6,73.0,2,0,0.0
3093,17088,4,94,1889.51,861,472.38,215.25,9,2,210.0,4,0,0.0
456,12988,1,72,454.82,122,454.82,122.0,1,11,455.0,0,1,1.0
1822,14896,2,43,468.77000000000004,279,234.39,139.5,6,8,78.0,2,0,0.0
439,12968,1,5,135.95,73,135.95,73.0,1,5,136.0,1,0,0.0
2403,17905,3,30,585.04,279,195.01,93.0,8,6,73.0,3,0,0.0
1789,13989,2,24,598.71,446,299.36,223.0,7,3,86.0,2,0,0.0
2250,15612,2,3,180.15,51,90.08,25.5,2,2,90.0,1,1,0.5
2801,12348,3,14,595.0799999999999,676,198.36,225.33,5,9,119.0,3,0,0.0
684,15415,1,46,559.61,551,559.61,551.0,1,12,560.0,0,1,1.0
345,15825,1,18,257.44,216,257.44,216.0,1,7,257.0,1,0,0.0
2108,15258,2,30,553.01,137,276.5,68.5,2,7,277.0,2,0,0.0
1646,14179,2,134,676.07,317,338.04,158.5,1,3,676.0,1,1,0.5
3146,16869,4,112,804.37,582,201.09,145.5,6,2,134.0,4,0,0.0
1085,15007,1,12,156.91,69,156.91,69.0,1,6,157.0,0,1,1.0
1292,14689,1,13,112.8,76,112.8,76.0,1,8,113.0,0,1,1.0
4232,17389,32,41,19733.78,3882,616.68,121.31,12,1,1644.0,31,1,0.03125
2807,16205,4,75,757.63,516,189.41,129.0,6,2,126.0,4,0,0.0
1989,15791,2,66,1587.19,729,793.6,364.5,6,3,265.0,2,0,0.0
836,16658,1,8,123.24,40,123.24,40.0,1,13,123.0,1,0,0.0
3383,17131,5,76,2264.7200000000003,968,452.94,193.6,4,1,566.0,0,5,1.0
3331,13309,5,83,1456.79,1544,291.36,308.8,11,1,132.0,5,0,0.0
3547,14209,6,50,1937.68,682,322.95,113.67,11,2,176.0,6,0,0.0
1592,16253,2,113,3665.62,3137,1832.81,1568.5,8,3,458.0,2,0,0.0
496,15598,1,14,240.68,160,240.68,160.0,1,3,241.0,1,0,0.0
3839,17504,9,109,2861.13,1654,317.9,183.78,5,8,572.0,8,1,0.1111111111111111
3428,12388,6,57,2701.94,1270,450.32,211.67,11,2,246.0,5,1,0.16666666666666666
3092,17075,4,64,814.1700000000001,291,203.54,72.75,11,2,74.0,4,0,0.0
1073,14966,1,35,183.02,179,183.02,179.0,1,2,183.0,1,0,0.0
911,15193,1,18,461.07,141,461.07,141.0,1,3,461.0,1,0,0.0
42,16202,1,17,327.02,188,327.02,188.0,1,13,327.0,1,0,0.0
380,15776,1,17,216.12,136,216.12,136.0,1,6,216.0,1,0,0.0
2723,14618,3,9,523.44,262,174.48,87.33,11,2,48.0,3,0,0.0
4058,16607,13,137,2781.43,2540,213.96,195.38,12,2,232.0,13,0,0.0
1112,17431,1,41,403.3,292,403.3,292.0,1,12,403.0,0,1,1.0
320,12818,1,7,267.6,96,267.6,96.0,1,10,268.0,1,0,0.0
2080,15695,2,21,371.73,209,185.86,104.5,1,10,372.0,2,0,0.0
2494,15181,3,10,585.4799999999999,444,195.16,148.0,8,3,73.0,3,0,0.0
1353,14241,1,10,213.70000000000002,146,213.7,146.0,1,7,214.0,1,0,0.0
1726,12646,2,42,1308.72,894,654.36,447.0,3,1,436.0,2,0,0.0
1558,16140,2,30,542.3,442,271.15,221.0,11,3,49.0,2,0,0.0
1206,14055,1,9,310.64,116,310.64,116.0,1,5,311.0,1,0,0.0
2787,14461,3,165,1892.66,750,630.89,250.0,5,6,379.0,3,0,0.0
2910,13147,4,1,712.8000000000001,144,178.2,36.0,3,2,238.0,4,0,0.0
2269,15526,2,4,148.44,24,74.22,12.0,1,2,148.0,0,2,1.0
3343,16628,5,79,2188.05,1205,437.61,241.0,8,2,274.0,5,0,0.0
3184,16261,4,94,697.64,299,174.41,74.75,8,2,87.0,3,1,0.25
772,17684,1,15,239.41,145,239.41,145.0,1,3,239.0,1,0,0.0
1103,14968,1,37,147.59,127,147.59,127.0,1,2,148.0,1,0,0.0
2589,16832,3,10,182.2,32,60.73,10.67,2,7,91.0,3,0,0.0
602,15540,1,15,213.3,200,213.3,200.0,1,2,213.0,1,0,0.0
3280,14290,5,88,2274.7000000000003,914,454.94,182.8,12,2,190.0,5,0,0.0
3558,13198,6,197,3308.59,2645,551.43,440.83,12,2,276.0,6,0,0.0
3573,12753,6,107,15216.57,6479,2536.09,1079.83,12,2,1268.0,5,1,0.16666666666666666
169,16030,1,28,331.24,283,331.24,283.0,1,11,331.0,1,0,0.0
2192,16596,2,12,250.15,97,125.08,48.5,12,2,21.0,2,0,0.0
3368,13995,5,56,1393.69,879,278.74,175.8,8,2,174.0,5,0,0.0
3424,15089,6,134,2207.79,1344,367.96,224.0,4,2,552.0,6,0,0.0
1057,16810,1,15,309.54,114,309.54,114.0,1,8,310.0,1,0,0.0
2580,17461,3,103,720.87,769,240.29,256.33,1,2,721.0,3,0,0.0
67,16127,1,40,656.25,323,656.25,323.0,1,3,656.0,1,0,0.0
603,15539,1,41,538.46,410,538.46,410.0,1,1,538.0,1,0,0.0
4077,17220,14,305,3128.15,1893,223.44,135.21,12,2,261.0,14,0,0.0
1695,12592,2,10,401.6,288,200.8,144.0,5,4,80.0,2,0,0.0
2607,14006,3,20,656.24,440,218.75,146.67,8,5,82.0,3,0,0.0
2401,13344,3,110,1970.69,938,656.9,312.67,8,3,246.0,3,0,0.0
437,12976,1,19,303.6,261,303.6,261.0,1,8,304.0,1,0,0.0
938,15148,1,20,301.29,187,301.29,187.0,1,2,301.0,1,0,0.0
1994,12844,2,47,325.96000000000004,125,162.98,62.5,4,2,81.0,2,0,0.0
3181,12530,4,48,1342.24,804,335.56,201.0,10,3,134.0,4,0,0.0
2035,13601,2,90,693.32,548,346.66,274.0,6,3,116.0,2,0,0.0
2333,13186,3,68,1571.89,720,523.96,240.0,3,3,524.0,3,0,0.0
3796,17528,8,178,3106.75,2109,388.34,263.62,4,1,777.0,8,0,0.0
3487,15220,6,108,1709.36,1153,284.89,192.17,8,3,214.0,6,0,0.0
973,15130,1,22,330.11,197,330.11,197.0,1,7,330.0,1,0,0.0
574,13130,1,2,64.0,32,64.0,32.0,1,4,64.0,1,0,0.0
312,12772,1,52,726.97,549,726.97,549.0,1,3,727.0,1,0,0.0
993,13763,1,13,1359.76,536,1359.76,536.0,1,3,1360.0,1,0,0.0
3633,12980,7,5,1435.68,456,205.1,65.14,7,7,205.0,6,1,0.14285714285714285
1944,13816,2,23,459.72,264,229.86,132.0,2,2,230.0,2,0,0.0
1701,14138,2,40,965.8800000000001,600,482.94,300.0,3,1,322.0,2,0,0.0
2499,13652,3,49,1095.08,578,365.03,192.67,11,3,100.0,3,0,0.0
4027,12395,12,82,2168.98,1522,180.75,126.83,12,2,181.0,11,1,0.08333333333333333
2937,17731,4,50,1036.56,480,259.14,120.0,4,4,259.0,4,0,0.0
151,16287,1,7,125.22000000000001,82,125.22,82.0,1,7,125.0,1,0,0.0
1876,13914,2,29,626.45,380,313.23,190.0,1,2,626.0,2,0,0.0
1037,13786,1,7,230.39999999999998,136,230.4,136.0,1,13,230.0,1,0,0.0
1486,12379,2,38,777.24,402,388.62,201.0,4,4,194.0,2,0,0.0
3980,15482,11,39,8469.36,2773,769.94,252.09,12,2,706.0,10,1,0.09090909090909091
1508,14412,2,40,658.93,588,329.46,294.0,2,3,329.0,2,0,0.0
2399,16589,3,31,459.24,368,153.08,122.67,3,4,153.0,3,0,0.0
3172,12615,4,80,1895.85,1267,473.96,316.75,7,1,271.0,4,0,0.0
2866,12723,4,51,622.32,428,155.58,107.0,3,1,207.0,4,0,0.0
4249,15061,44,55,31304.18,12143,711.46,275.98,13,1,2408.0,43,1,0.022727272727272728
2259,15492,2,32,659.4599999999999,483,329.73,241.5,3,2,220.0,2,0,0.0
4149,14085,18,270,4320.44,3170,240.02,176.11,13,1,332.0,18,0,0.0
1282,14165,1,22,107.69,52,107.69,52.0,1,10,108.0,1,0,0.0
1163,17414,1,3,28.0,60,28.0,60.0,1,7,28.0,1,0,0.0
2025,13659,2,89,1432.1,879,716.05,439.5,5,8,286.0,1,1,0.5
1167,14885,1,13,664.52,484,664.52,484.0,1,6,665.0,0,1,1.0
2018,15163,2,29,304.47,186,152.24,93.0,7,2,43.0,2,0,0.0
2832,16224,4,88,1267.6,1114,316.9,278.5,7,3,181.0,4,0,0.0
3209,16735,5,89,2196.41,1528,439.28,305.6,9,4,244.0,4,1,0.2
914,16720,1,25,152.95,180,152.95,180.0,1,2,153.0,0,1,1.0
3027,13813,4,53,1168.8600000000001,541,292.22,135.25,4,3,292.0,3,1,0.25
4221,13098,28,148,20899.8,11652,746.42,416.14,12,1,1742.0,26,2,0.07142857142857142
3788,17997,8,130,1841.86,1869,230.23,233.62,4,4,460.0,7,1,0.125
4061,15291,13,59,3590.57,1135,276.2,87.31,12,2,299.0,12,1,0.07692307692307693
343,17984,1,47,139.93,97,139.93,97.0,1,6,140.0,0,1,1.0
568,13153,1,15,486.22,418,486.22,418.0,1,1,486.0,0,1,1.0
512,17880,1,26,458.92,314,458.92,314.0,1,13,459.0,1,0,0.0
2732,18167,3,24,1384.8600000000001,382,461.62,127.33,4,2,346.0,3,0,0.0
850,15226,1,7,128.91,69,128.91,69.0,1,11,129.0,1,0,0.0
194,15975,1,24,371.01,243,371.01,243.0,1,4,371.0,1,0,0.0
4117,15555,16,401,4478.56,4405,279.91,275.31,12,2,373.0,9,7,0.4375
555,16529,1,30,455.25,198,455.25,198.0,1,7,455.0,1,0,0.0
2459,17951,3,16,602.34,420,200.78,140.0,11,3,55.0,3,0,0.0
3376,15722,5,45,1980.21,891,396.04,178.2,10,2,198.0,4,1,0.2
1087,15004,1,151,1148.42,618,1148.42,618.0,1,6,1148.0,1,0,0.0
3517,12528,6,47,1511.58,730,251.93,121.67,11,2,137.0,6,0,0.0
7,14420,1,29,387.52,334,387.52,334.0,1,4,388.0,1,0,0.0
2219,15636,2,21,724.76,284,362.38,142.0,7,4,104.0,1,1,0.5
2962,15745,4,56,1069.09,419,267.27,104.75,8,2,134.0,1,3,0.75
1144,13980,1,11,200.14,172,200.14,172.0,1,3,200.0,1,0,0.0
1329,14569,1,9,212.44,78,212.44,78.0,1,1,212.0,1,0,0.0
1527,16230,2,31,516.53,363,258.26,181.5,2,7,258.0,2,0,0.0
3511,17227,6,27,733.72,545,122.29,90.83,12,2,61.0,6,0,0.0
2712,17282,3,73,800.52,492,266.84,164.0,7,5,114.0,1,2,0.6666666666666666
1874,13899,2,18,337.52,152,168.76,76.0,9,2,38.0,2,0,0.0
2771,17095,3,68,1311.41,617,437.14,205.67,11,2,119.0,1,2,0.6666666666666666
3990,15769,11,8,2565.52,748,233.23,68.0,13,1,197.0,11,0,0.0
594,13188,1,1,99.60000000000001,24,99.6,24.0,1,2,100.0,1,0,0.0
2120,13506,2,26,458.52,324,229.26,162.0,2,12,229.0,1,1,0.5
2144,13453,2,16,356.97999999999996,134,178.49,67.0,5,7,71.0,2,0,0.0
1456,16181,1,11,305.54,152,305.54,152.0,1,4,306.0,1,0,0.0
2001,17540,2,20,578.9,194,289.45,97.0,11,2,53.0,2,0,0.0
1358,14581,1,15,110.76,121,110.76,121.0,1,2,111.0,1,0,0.0
2930,13157,4,70,1713.38,1343,428.34,335.75,9,3,190.0,4,0,0.0
2706,16960,3,93,507.05,304,169.02,101.33,8,2,63.0,3,0,0.0
3703,17685,7,90,2807.83,1667,401.12,238.14,12,2,234.0,7,0,0.0
2230,17742,2,8,216.76000000000002,80,108.38,40.0,8,5,27.0,2,0,0.0
3784,14541,8,71,1453.35,641,181.67,80.12,10,3,145.0,8,0,0.0
3399,14506,5,204,1930.75,702,386.15,140.4,12,2,161.0,4,1,0.2
1184,14801,1,56,189.34,173,189.34,173.0,1,3,189.0,0,1,1.0
3501,17183,6,40,3072.21,1194,512.04,199.0,5,1,614.0,4,2,0.3333333333333333
3364,14409,5,37,1678.14,881,335.63,176.2,10,4,168.0,5,0,0.0
3948,18075,10,92,2472.85,1454,247.28,145.4,12,2,206.0,10,0,0.0
1151,14908,1,9,277.8,132,277.8,132.0,1,4,278.0,1,0,0.0
920,17561,1,44,165.12,144,165.12,144.0,1,2,165.0,0,1,1.0
3363,14407,5,59,1736.43,1152,347.29,230.4,6,5,289.0,5,0,0.0
1708,18142,2,9,443.28000000000003,388,221.64,194.0,3,6,148.0,1,1,0.5
1035,13800,1,32,526.42,329,526.42,329.0,1,11,526.0,1,0,0.0
1001,15096,1,11,219.39000000000001,120,219.39,120.0,1,3,219.0,1,0,0.0
1904,16778,2,16,245.94,194,122.97,97.0,7,4,35.0,2,0,0.0
4206,13854,25,37,7762.36,2068,310.49,82.72,13,1,597.0,24,1,0.04
2357,15589,3,27,456.58,242,152.19,80.67,2,10,228.0,3,0,0.0
2197,13365,2,119,2030.07,1233,1015.04,616.5,7,2,290.0,1,1,0.5
559,13121,1,50,283.73,252,283.73,252.0,1,10,284.0,1,0,0.0
678,15435,1,29,149.29,54,149.29,54.0,1,2,149.0,1,0,0.0
156,16275,1,31,521.62,333,521.62,333.0,1,8,522.0,1,0,0.0
3375,17054,5,62,1239.88,797,247.98,159.4,8,2,155.0,5,0,0.0
321,12817,1,3,126.03999999999999,52,126.04,52.0,1,10,126.0,1,0,0.0
3214,17302,5,67,1110.13,573,222.03,114.6,10,2,111.0,4,1,0.2
2631,16324,3,99,395.84000000000003,269,131.95,89.67,3,5,132.0,3,0,0.0
1949,13761,2,68,1070.65,642,535.33,321.0,5,3,214.0,2,0,0.0
2166,13431,2,42,1111.0,570,555.5,285.0,2,3,556.0,2,0,0.0
1922,15840,2,26,355.56,396,177.78,198.0,5,3,71.0,2,0,0.0
29,18249,1,8,95.34,128,95.34,128.0,1,2,95.0,1,0,0.0
224,15921,1,23,306.08,161,306.08,161.0,1,7,306.0,1,0,0.0
4225,17511,29,322,43021.83,21468,1483.51,740.28,13,1,3309.0,29,0,0.0
2789,14465,3,105,1010.74,396,336.91,132.0,3,9,337.0,3,0,0.0
3903,15984,10,214,2479.43,1371,247.94,137.1,13,1,191.0,9,1,0.1
3879,14410,9,153,1100.27,567,122.25,63.0,8,4,138.0,9,0,0.0
1384,14288,1,15,375.6,184,375.6,184.0,1,8,376.0,1,0,0.0
791,15322,1,42,679.68,416,679.68,416.0,1,4,680.0,1,0,0.0
4005,16553,12,47,3771.44,2002,314.29,166.83,7,7,539.0,12,0,0.0
3611,17191,7,161,1984.28,1158,283.47,165.43,12,2,165.0,7,0,0.0
849,15234,1,14,197.0,196,197.0,196.0,1,10,197.0,1,0,0.0
856,17620,1,4,81.44,60,81.44,60.0,1,3,81.0,1,0,0.0
3653,17188,7,71,2474.23,1328,353.46,189.71,12,2,206.0,6,1,0.14285714285714285
3714,17490,7,63,1892.6399999999999,942,270.38,134.57,7,1,270.0,7,0,0.0
2648,12642,3,37,888.31,545,296.1,181.67,4,2,222.0,3,0,0.0
1393,17110,1,11,137.79999999999998,48,137.8,48.0,1,7,138.0,1,0,0.0
4021,15694,12,41,5919.36,1364,493.28,113.67,13,1,455.0,11,1,0.08333333333333333
2133,17926,2,17,397.29,306,198.64,153.0,3,6,132.0,2,0,0.0
1483,18278,1,9,173.9,66,173.9,66.0,1,4,174.0,1,0,0.0
2730,16110,3,282,1295.45,718,431.82,239.33,9,3,144.0,3,0,0.0
1615,17018,2,15,920.1,176,460.05,88.0,10,3,92.0,1,1,0.5
2951,13475,4,62,1391.88,1010,347.97,252.5,5,7,278.0,4,0,0.0
4046,15547,13,434,4573.25,3510,351.79,270.0,13,1,352.0,2,11,0.8461538461538461
1045,13853,1,21,970.54,304,970.54,304.0,1,3,971.0,1,0,0.0
32,12448,1,20,300.45,239,300.45,239.0,1,3,300.0,1,0,0.0
2060,12930,2,19,403.05,251,201.52,125.5,4,4,101.0,2,0,0.0
2620,18035,3,42,681.99,582,227.33,194.0,2,2,341.0,3,0,0.0
3035,13950,4,29,615.61,315,153.9,78.75,8,2,77.0,4,0,0.0
4203,14667,25,346,8811.460000000001,5153,352.46,206.12,12,2,734.0,23,2,0.08
4235,13263,34,449,7231.13,4753,212.68,139.79,12,1,603.0,33,1,0.029411764705882353
2502,13662,3,47,787.96,527,262.65,175.67,7,4,113.0,3,0,0.0
2501,16734,3,42,584.96,341,194.99,113.67,3,3,195.0,3,0,0.0
3202,16456,5,82,2158.18,1147,431.64,229.4,10,4,216.0,3,2,0.4
1968,15104,2,58,812.49,624,406.24,312.0,3,8,271.0,2,0,0.0
376,12881,1,6,103.0,20,103.0,20.0,1,10,103.0,1,0,0.0
1530,12462,2,50,912.09,525,456.04,262.5,10,2,91.0,2,0,0.0
3584,18037,6,18,50.07,19,8.35,3.17,8,6,6.0,4,2,0.3333333333333333
3012,17454,4,57,517.53,243,129.38,60.75,6,8,86.0,3,1,0.25
3441,17086,6,72,1494.3799999999999,1508,249.06,251.33,3,1,498.0,6,0,0.0
1873,17462,2,24,662.94,226,331.47,113.0,9,3,74.0,2,0,0.0
1917,15045,2,10,633.66,106,316.83,53.0,5,6,127.0,1,1,0.5
1554,12468,2,34,619.29,359,309.64,179.5,6,7,103.0,1,1,0.5
1394,14340,1,6,134.7,58,134.7,58.0,1,8,135.0,1,0,0.0
1978,17523,2,23,263.43,143,131.72,71.5,1,2,263.0,1,1,0.5
3542,14101,6,11,1694.19,914,282.36,152.33,9,4,188.0,5,1,0.16666666666666666
1113,17427,1,2,100.8,34,100.8,34.0,1,4,101.0,1,0,0.0
2206,13311,2,25,581.62,304,290.81,152.0,6,1,97.0,2,0,0.0
3602,15453,7,168,1331.32,834,190.19,119.14,7,1,190.0,5,2,0.2857142857142857
3043,13892,4,24,480.69,491,120.17,122.75,8,2,60.0,3,1,0.25
1468,12361,1,9,174.9,90,174.9,90.0,1,11,175.0,1,0,0.0
1986,13711,2,11,252.06,140,126.03,70.0,1,8,252.0,2,0,0.0
2207,13321,2,10,335.36,212,167.68,106.0,1,4,335.0,2,0,0.0
605,16545,1,3,339.3,78,339.3,78.0,1,7,339.0,1,0,0.0
3635,14533,7,44,1283.88,1151,183.41,164.43,12,2,107.0,5,2,0.2857142857142857
1776,17397,2,87,664.46,249,332.23,124.5,1,2,664.0,2,0,0.0
4226,15159,29,360,17756.86,11408,612.31,393.38,13,1,1366.0,27,2,0.06896551724137931
2784,14385,3,13,202.11,159,67.37,53.0,1,2,202.0,3,0,0.0
1923,15847,2,20,313.84000000000003,160,156.92,80.0,10,2,31.0,2,0,0.0
2485,15759,3,5,253.04,60,84.35,20.0,6,8,42.0,3,0,0.0
3955,16767,11,143,5205.0,3863,473.18,351.18,11,2,473.0,11,0,0.0
3968,14502,11,365,2332.18,1473,212.02,133.91,11,2,212.0,4,7,0.6363636363636364
1573,14548,2,1,163.2,64,81.6,32.0,7,6,23.0,2,0,0.0
55,18215,1,13,299.34000000000003,118,299.34,118.0,1,4,299.0,0,1,1.0
795,15314,1,24,327.97,313,327.97,313.0,1,8,328.0,1,0,0.0
179,12618,1,10,137.31,95,137.31,95.0,1,2,137.0,1,0,0.0
956,17534,1,9,223.36,103,223.36,103.0,1,3,223.0,1,0,0.0
2253,13169,2,9,406.88,248,203.44,124.0,7,3,58.0,2,0,0.0
1193,14041,1,21,141.41,94,141.41,94.0,1,10,141.0,1,0,0.0
1472,12390,1,29,470.94,348,470.94,348.0,1,4,471.0,1,0,0.0
2036,15184,2,56,338.45,194,169.22,97.0,6,2,56.0,2,0,0.0
277,12738,1,10,137.35,147,137.35,147.0,1,13,137.0,1,0,0.0
3579,16143,6,75,2098.44,911,349.74,151.83,13,1,161.0,5,1,0.16666666666666666
2904,17796,4,62,664.5,174,166.12,43.5,11,3,60.0,0,4,1.0
1229,14772,1,8,126.50999999999999,81,126.51,81.0,1,5,127.0,1,0,0.0
2327,16551,3,25,697.48,618,232.49,206.0,9,4,77.0,3,0,0.0
1897,17447,2,33,541.53,443,270.76,221.5,2,3,271.0,1,1,0.5
3850,13993,9,59,2986.36,871,331.82,96.78,10,3,299.0,7,2,0.2222222222222222
305,16377,1,3,106.2,180,106.2,180.0,1,10,106.0,1,0,0.0
158,16272,1,25,411.7,224,411.7,224.0,1,5,412.0,1,0,0.0
1488,12386,2,9,358.7,234,179.35,117.0,2,12,179.0,2,0,0.0
